id;slug;created_at;updated_at
1;Assistant;2022-08-23T12:17:32;2022-08-23T00:04:46
2;Squares;2022-08-23T09:09:46;2022-08-23T09:51:29
3;Investment Security;2022-08-23T08:37:19;2022-08-22T17:20:44
4;pricing;2022-08-23T07:29:31;2022-08-22T23:47:29
5;Music Principal Sahara;2022-08-23T01:53:55;2022-08-23T01:20:25
6;alarm multi-byte;2022-08-23T03:57:47;2022-08-23T01:55:24
7;dedicated;2022-08-23T04:25:57;2022-08-22T19:55:48
8;mobile Direct Villages;2022-08-22T17:55:36;2022-08-22T15:03:31
9;Gorgeous copying;2022-08-23T12:05:04;2022-08-22T21:51:24
10;Ergonomic Generic bluetooth;2022-08-23T07:34:05;2022-08-22T18:53:22
